,title,rating,isEdited,content,userName,date,developerBody,developerID,developerModified
210,Fantastic app,5,False,fantastic app. i love the redesign of the app and all the awesome colors. it’s nice having all my medical information in one spot. great job mayo clinic. 👍🏼,Atticus183,2019-04-05 15:51:10,nan,nan,nan
211,Mayo Clinic app,5,False,mayo clinic app. the app is amazing just clicks away from all your info!  fast results! great communication with your doctors!,stormcookies,2018-12-29 21:28:23,nan,nan,nan
212,New App,1,False,"new app. i have no idea how many hours or how much money this (upgrade) demanded. but i don’t believe it could be worse. some web content people believe in drowning uses in information of titanic proportions, only to wind up with the same result. concentration, should be on ease of use.",Datones,2018-08-28 21:07:51,nan,nan,nan
213,Brain,5,False,brain. absolutely saved my life! thanks,tried 4 times no mas,2021-07-25 14:33:19,nan,nan,nan
214,Update Broke It,2,False,"update broke it. it would be a great app if it worked.  so many features don’t work or aren’t available.  when trying to send app feedback-there was an issue sending it...i mean, come on!",Fina7,2018-05-08 04:53:17,Sorry you're having trouble using the app - please feel free to send a direct email to our team at mcmobileapps@mayo.edu and someone will investigate the issues you're experiencing.,3423721.0,2018-05-10T15:41:25Z
215,Broken,1,False,broken. after the last update in early april 2022 the application is now broken - you are unable to log in. it throws you in a browser. this is a broken way to do authentication. really sad development.,I4ko,2022-04-15 14:31:31,nan,nan,nan
216,Not user friendly,1,True,not user friendly. new layout is difficult to understand. appointments are available to see by anyone assisting. notes are hard to read. all icons are same color. have had portal for six+ years. won’t recommend.,Kitty Komments,2020-03-16 13:08:52,"Kitty Comments - can you please email us with your username so we can troubleshoot this issue.  Our email is mcmobileapps@mayo.edu



Kitty Komments - ouch!  That’s not supposed to work that way.  Please email us so we can troubleshoot this issue and fix the bug.  Our email is mcmobileapps@mayo.edu.  Thank you.",4061791.0,2020-03-16T13:08:52Z
217,Bugs need to be addressed,1,False,"bugs need to be addressed. this isn’t a game app, it is something that the clinic relies heavily on for communication with the patient and the patients dependents. occasional crashes and bugs are just something that happens, but an app that is directly tied to our healthcare cannot be this buggy.",dkloftus,2019-07-01 02:27:05,nan,nan,nan
218,Can’t receive notifications,1,False,can’t receive notifications. adjusted settings and still don’t receive notifications when my provider sends a message. tried asking for help only to get a repeated error message. so frustrating.,Mom727,2018-05-19 13:27:38,Sorry you're having trouble using the app - please feel free to send a direct email to our team at mcmobileapps@mayo.edu and someone will investigate the issues you're experiencing.,3544645.0,2018-05-21T19:02:35Z
219,Mayo app,5,False,mayo app. easy to use. intuitive and excellent user experience,RAMANGE,2019-03-04 15:59:43,nan,nan,nan
220,Almost perfect...Great app,4,False,almost perfect...great app. great app to use for contacting care teams in several locations. good info available about results from tests and procedures.   last update has too small of type in contacting care teams.   good daily info.   good app to find medical history.   good secure info. no need to share with outside vendors. medicare could take a lesson.,Deletexy,2019-03-07 20:15:25,nan,nan,nan
221,Don't Update,1,False,don't update. warning! update will completely destroy the functionality of the app. update at your own peril each update brings worse functions and more bugs,Maria80386,2022-04-13 04:54:47,nan,nan,nan
222,Calendar,4,False,calendar. only issue is can’t download calendar to ical or any calendar,%LMS$,2022-04-07 00:14:59,nan,nan,nan
223,No longer useful,1,False,no longer useful. the previous version of the app was far more functional. the conversion that occurred in the past few months has made it less functional from the perspective of communicating about care.,Gzpzzr,2018-12-05 07:01:25,nan,nan,nan
224,Awesome app,5,False,awesome app. i am a new mayo patient. this app was a lifesaver for appointment updates and access to my doctors!! thank you!!!!,yesiamone,2017-09-21 18:24:10,nan,nan,nan
225,Can’t get in,1,False,can’t get in. app update and now can’t get it open. have used the app for several years and it always worked but now they’ve updated it and i can’t get it to open. fix it!,1pudder4,2022-04-26 00:25:30,nan,nan,nan
226,I can’t have it cuz I have an iPhone 😡,1,False,i can’t have it cuz i have an iphone 😡. i can’t review it or even download it because i have an iphone and it’s not compatible or some stupid thing!!! sometimes i think apple could ease up the reigns on some of the apps,mutualrespect8*,2021-11-17 19:33:44,nan,nan,nan
227,Very good,4,False,very good. i love how i can message my team of doctors and nurses if i have any questions or updates form them.,KHARE2601,2020-04-27 11:55:06,nan,nan,nan
228,Still could let you learn about test without going out of your way.,4,False,still could let you learn about test without going out of your way. mrs pehl,Mrs. McCookie,2019-06-01 12:45:15,nan,nan,nan
229,Wonderful ‼️,5,False,"wonderful ‼️. great, high quality information ‼️",nanabarr,2020-04-02 02:51:17,nan,nan,nan
230,Best medical app,5,False,best medical app. a great extension of the mayo clinic. a great resource for all people. a convenient way to always stay in touch.,mmakows3,2019-09-20 16:31:23,nan,nan,nan
231,Should be a LOT better!,2,False,"should be a lot better! interface is cluttered, and often throws commercials for programs and un-asked for stuff, rather than informing. perhaps 90% is dedicated to selling services, and 10% to the patient’s interaction with the hospital.",Doodslag,2018-09-19 23:20:38,nan,nan,nan
232,Your IT Dept truly succeeded in ruining a good App .,1,False,"your it dept truly succeeded in ruining a good app . the previous app was great , elegant & simple  and right to the point . this “so called” update is confusing at best and at worst conveying a sense of chaos ( the start page; that is ) . too many distractive infomertials in large prints & pics, etc. in my humble view , this is totally unbecoming of an institution of mayo clinic caliber.",Jj00rma,2018-05-02 16:56:18,nan,nan,nan
233,Need hard copy of all statements,5,False,need hard copy of all statements. we need hard copies of all statements; please confirm ‼️,aoj72,2019-03-29 17:16:38,nan,nan,nan
234,Billing still off...,3,False,billing still off... app is good.  problems with connecting to billing is still either non-existent or incorrect.  used to work well but not so much now.,Icantregisteranickname,2018-10-21 13:16:27,nan,nan,nan
235,Slooow,3,False,slooow. new version much slower producing results than the previous version.  i hope it improves when the training wheels are of.,GinkgoGrower,2018-04-16 01:24:36,Sorry you're having issues.  If you continue to experience issues with slowness - feel free to reach out directly to our support team via email at mcmobileapps@mayo.edu,3178309.0,2018-04-18T20:53:50Z
236,Dissatisfied,1,False,dissatisfied. random crashes even after rebooting and reinstalling.  there is no way to reach anyone for technical support and if this is supposed to actually be a primary contact method you have some serious work to do.,JHG942,2019-09-23 18:33:34,nan,nan,nan
237,Fantastic!!!,5,False,"fantastic!!! fantastic, flawless, wouldn’t change a thing!!!",DPR1234,2019-05-22 07:32:05,nan,nan,nan
